date,name,lat_mean,lat_std,long_mean,long_std,cmd_mean,cmd_std,n,reliable
1795-02-12,t,11.33980832,,226.1043979,,11.08584256,,1,FALSE
1795-03-03,t,-7.503463524,0.259047421,293.4558456,0.538609527,-30.84964323,0.547520271,4,TRUE
1795-03-04,t_grande,-7.587918864,0.765694002,293.804902,0.298988392,-17.13143788,0.334706462,5,TRUE
1795-03-04,t_petite,1.946624294,0.949893028,279.3917248,0.199555728,-31.59682735,0.245424748,3,TRUE
1795-03-05,t,-7.552470626,1.000504065,294.3135527,0.624530584,-3.634513401,0.636051171,5,TRUE
1795-03-07,t,-8.091995028,,295.4264332,,23.96128114,,1,TRUE
1796-07-05,t_A,-5.915691229,0.314811626,29.46744053,0.253947855,52.84801914,0.294239867,2,TRUE
1796-07-05,t_B,6.104892524,0.440479088,286.8372945,2.721903083,-49.80607342,2.676813952,3,TRUE
1796-07-07,t_B,6.026616645,1.19220817,284.8696419,1.110696514,-22.30140724,3.486593352,5,TRUE
1796-07-08,t_B,5.87218736,0.444069105,285.9792775,1.345066064,-9.301190849,3.837231743,8,TRUE
1796-07-09,t,5.630357607,0.470134581,285.7868942,1.083540553,4.785237847,2.965330576,6,TRUE
1796-07-10,t,5.918823516,0.311021391,285.5726502,0.271142489,16.76181214,3.405013803,8,TRUE
1796-07-11,t_B,5.597727273,0.208618401,285.5326663,0.399442852,27.05285371,0.369746232,4,TRUE
1796-07-11,t_C,13.25716781,0.875986176,209.5550857,0.369318902,-48.86763674,0.409714816,2,TRUE
1796-07-11,t_D,13.35072005,0.563902703,205.8961229,0.940051797,-52.52659951,0.980447697,2,TRUE
1796-07-13,t_E,10.81546175,0.300175377,186.6269928,0.26284569,-39.22000512,0.253992396,4,TRUE
1796-07-15,t_F,10.56092448,1.316201424,186.4162966,0.498596092,-16.14481339,3.508935328,5,TRUE
1796-07-16,t_F,11.68874618,0.803358368,187.2351214,0.694138301,-4.934788222,0.757486702,2,TRUE
1796-07-19,t_G,12.96086118,0.480485669,155.7960611,0.171893699,3.514800937,0.139464242,2,TRUE
1796-07-20,t_G,11.49788871,,156.6779404,,17.48136101,,1,TRUE
1796-07-24,t_H,-5.947298997,1.167585672,33.08813007,5.158637521,-53.39075177,5.15319754,4,TRUE
1796-07-25,t_H,-6.670316515,0.093237062,31.93634087,1.027565361,-40.96487871,0.962612279,2,TRUE
1796-07-26,t_H,-7.589587857,,32.02580107,,-27.75324165,,1,TRUE
1796-07-28,t,-7.351527711,0.182541664,30.56063224,0.738804639,-2.61371812,0.702760275,2,TRUE
1796-07-29,t_H,-7.223767071,0.344066921,31.5845097,0.50832242,12.17736996,0.468437305,2,TRUE
1796-07-29,t_I,-5.926822252,0.394598034,1.931687307,0.209794003,-17.34943809,0.172452462,2,TRUE
1796-07-30,t_H,-6.88269326,0.995492672,32.41129473,2.106925361,25.76135411,2.066663125,2,TRUE
1796-07-30,t_I,-5.154936648,1.285192412,2.016114384,0.422350103,-4.633826233,0.462612346,2,TRUE
1796-07-31,t_H,-9.321467331,,31.95433622,,38.07187439,,1,TRUE
1796-07-31,t_I,-5.549994298,,4.21054689,,10.27114802,,1,TRUE
1796-09-01,t_K,10.18428662,0.386726502,224.5351733,1.507197963,-66.09036055,1.514655896,2,TRUE
1796-09-01,t_L,13.31763137,0.310272679,225.0248143,0.11147694,-65.60071954,0.118934809,2,TRUE
1796-09-02,t_K,11.01805623,0.572849929,222.638984,0.782389879,-54.77207506,0.730653716,3,TRUE
1796-09-02,t_L,13.68919534,0.413694703,223.0295692,0.395603046,-54.38148994,0.415893179,3,TRUE
1796-09-02,t_M,-13.17988417,,231.8871008,,-45.45527771,,1,TRUE
1796-09-02,t_N,-14.74059815,,225.7187675,,-51.62361101,,1,FALSE
1796-09-04,t_K,10.30826495,,222.1994,,-23.90603714,,1,TRUE
1796-09-04,t_L,15.18755576,1.789720462,222.2555476,0.51760478,-23.80174597,0.449519363,2,TRUE
1796-09-04,t_M,-14.18539177,0.431553526,232.1544497,0.209434988,-13.90284383,0.14134967,2,TRUE
1796-09-05,t_L,14.56883094,0.128775147,221.8806693,0.385178529,-15.30075759,0.350055941,2,TRUE
1796-09-05,t_M,-13.78565358,0.284181789,232.3824097,0.473117864,-4.799017216,0.437995269,2,TRUE
1796-09-06,t_L,13.72975111,0.380157343,221.9661702,0.111065828,-2.216446773,0.143269489,2,TRUE
1796-09-06,t_M,-13.71747819,0.216481038,232.6939288,0.948903713,8.511311784,0.981107417,2,TRUE
1796-09-07,t_L,13.78786018,0.122966117,222.0432135,0.450084992,10.51850306,0.415991259,2,TRUE
1796-09-07,t_M,-14.3156966,0.207774432,232.3549126,0.982651232,20.83020214,1.016745036,2,TRUE
1796-09-08,t_M,-13.9476402,0.057111883,232.6259742,0.059822365,34.8169468,0.093536835,2,TRUE
1796-09-09,t_L,12.73311494,0.097946204,221.5101982,0.359869622,36.87293609,0.326372369,2,TRUE
1796-09-10,t_L,13.39457868,0.367163959,220.6859508,0.331013372,49.04860983,0.364671704,2,TRUE
1796-09-11,t_L,13.20014423,0.240260636,220.5510584,0.178845973,62.02347343,0.149024416,2,TRUE
1796-09-12,t_L,16.76983291,,217.8096571,,72.69980061,,1,TRUE
1796-10-13,t_N,3.894791117,0.339044689,24.71994466,0.249021724,-71.76746334,0.215125338,2,TRUE
1796-10-14,t_N,3.582875861,0.406630974,24.37380144,0.858858951,-57.53726639,1.955182984,4,TRUE
1796-10-23,t_N,4.480803823,0.083650758,36.48309956,2.814003348,74.14250633,2.725289265,2,TRUE
1796-11-13,t,4.075072983,1.220294568,52.63451604,0.139750534,7.204696611,0.172547616,2,TRUE
1798-11-20,t,9.721559455,,16.44093049,,-23.68687397,,1,FALSE
1798-11-23,t,2.068278745,,8.368424359,,7.743610257,,1,FALSE
1798-12-20,t,3.79054921,1.21662223,6.346539158,0.554743799,5.416992557,0.586210301,3,TRUE
1798-12-21,t,1.612453313,1.723424763,7.448751889,0.63798943,19.61550414,0.702501898,5,TRUE
1799-02-24,t_1,7.296725027,2.653775462,214.4812461,0.408222402,-0.850576066,0.453288815,3,TRUE
1799-02-24,t_2,5.630438275,2.556585604,202.5127259,0.917320399,-12.81909623,0.909269063,3,TRUE
1799-02-26,t_1,8.870344551,,215.5857963,,26.68799387,,1,TRUE
1799-02-26,t_2,6.541187105,,203.4042232,,14.50642083,,1,TRUE
1799-03-27,t,6.515319954,,204.5230277,,39.7692901,,1,TRUE
1799-03-28,t,5.020955571,0.000140938,204.6645833,0.022792526,54.93465567,1.14E-05,2,TRUE
1799-10-29,t,-28.76267393,0.479661948,139.9945159,1.371902593,-49.22183683,1.415694822,3,TRUE
1800-10-11,t,26.33414757,,274.8849443,,-15.6809157,,1,TRUE
1800-10-12,t,28.1115718,,275.1497987,,-2.230396359,,1,TRUE
1800-10-14,t,25.92879487,,273.0667593,,22.05746152,,1,TRUE
1806-02-25,t,-12.90434761,0.42461767,251.9149902,0.553299341,-50.90034655,0.594546537,5,TRUE
1813-02-03,t,8.708210316,1.159144057,276.9999334,0.763541581,-45.94407077,0.825911065,3,TRUE
1813-02-04,t,9.507246002,1.028653664,277.9430245,0.52553128,-32.00132878,0.455988178,6,TRUE
1813-02-05,t,8.810816094,0.68110164,278.6435075,0.37794327,-18.26963214,0.387787649,6,TRUE
1813-02-06,t,10.20148061,0.567312902,278.7492861,0.231423402,-4.511090843,0.270334945,6,TRUE
1813-02-08,t,9.214391287,1.068861509,279.9222302,0.299109397,22.19758776,0.334199323,6,TRUE
1813-04-04,t,26.94821986,1.533734471,189.7202421,2.520001981,-63.51784714,2.471155593,4,TRUE
1813-04-05,t,25.3615389,0.47374978,191.6331338,0.913103554,-47.20071807,0.983957652,4,TRUE
1813-04-06,t,25.83247155,0.901911442,190.5668481,1.512410135,-35.91108977,1.584513064,3,TRUE
1813-04-07,t,25.65277349,0.000555746,190.1610432,0.11076628,-23.07628937,8.38E-05,3,TRUE
1813-04-08,t,24.62513256,0.40612332,190.1500532,0.628893964,-9.883428821,0.539253119,3,TRUE
1813-04-09,t_a,25.08140177,1.869957783,189.2076521,0.857083062,2.610433982,0.961175527,3,TRUE
1813-04-09,t_b,18.5078606,1.167176551,153.7898513,0.630094573,-32.80736679,0.704965789,3,TRUE
1813-04-10,t_a,24.05333083,1.033607844,189.2004668,0.312610779,15.45792799,0.388906956,3,TRUE
1813-04-10,t_b,19.51504461,0.234960209,155.0232101,0.389782478,-18.71932871,0.482066861,3,TRUE
1813-04-11,t_a,24.50299864,1.265824044,188.1736663,0.537203942,27.83446892,0.386228328,2,TRUE
1813-04-11,t_b,18.99506158,1.233751377,156.0522019,0.772438215,-4.286995367,0.621462641,2,TRUE
1813-04-12,t_a,23.79485918,0.895787013,187.1826674,0.416408291,39.98856268,0.44913567,3,TRUE
1813-04-12,t_b,17.72563193,0.539514983,155.5431266,0.554674465,8.349021832,0.481110135,3,TRUE
1813-04-13,t_b,18.24899192,0.622579602,154.916366,0.136269977,21.60281542,0.082124022,3,TRUE
1813-04-14,t_b,18.51901028,0.346763048,154.1774878,0.493399942,33.56716754,0.496850826,3,TRUE
1813-06-23,t_1,16.14810381,0.592399283,246.8159386,0.416335493,-27.28450588,0.530961652,2,TRUE
1813-06-23,t_2,17.95591028,0.592707949,238.0369071,0.51664163,-36.06353735,0.631267719,2,TRUE
1813-06-24,t_1,16.92324401,2.027326428,246.2451287,0.553253144,-14.39274802,0.646162902,2,TRUE
1813-06-28,t_1,16.47450724,1.279582362,245.4638888,0.277562322,38.16305724,0.18476498,2,TRUE
1813-07-26,t,9.79471955,0.55202015,129.0488157,1.848699053,-68.39259817,1.822120178,3,TRUE
1813-07-27,t_A,10.00897004,0.88307989,132.0051648,0.512416567,-52.52568591,0.426154612,3,TRUE
1813-07-28,t_A,11.52258175,0.053341166,132.8488743,0.782500062,-38.59219856,0.811591778,2,TRUE
1813-07-29,t,12.62093337,0.661676316,134.8602002,0.250187814,-23.41031128,0.287644123,2,TRUE
1813-08-02,t,12.21750623,1.690648989,153.7622573,1.27484027,45.68843506,1.365770964,2,TRUE
1813-08-03,t,12.27710756,0.691443489,152.0793708,0.213743177,57.31608791,0.100528862,2,TRUE
1813-09-26,t_1,-10.88492956,0.792851278,136.6294238,1.323339734,36.97496938,1.293883526,2,TRUE
1813-09-26,t_2,13.68850365,0.445740846,84.09806747,0.589476414,-15.55638694,0.560020213,2,TRUE
1813-09-28,t_2,11.91901659,,82.60721747,,10.2191916,,1,TRUE
1813-10-02,t_2,13.29131592,0.000327631,85.43439645,0.059014503,66.02554647,5.69E-05,2,TRUE
1813-10-09,t_1,10.16671004,0.842411841,2.899776584,2.769441036,75.39724628,2.827259373,2,FALSE
1813-10-09,t_2,-12.51110882,0.000259501,321.4995643,0.05778908,33.99703392,2.92E-05,2,FALSE
1813-12-12,t,5.988197862,0.83603244,97.82886785,0.751724908,-66.07053416,0.675928968,3,FALSE
1815-06-10,t,-26.51592787,0.895940182,128.7942535,1.688221044,-42.62392876,1.725643288,3,FALSE
1816-07-04,t_m,1.561240323,0.003119038,8.521767715,0.095660323,-53.89716263,0.000166552,2,TRUE
1816-07-06,t_m,1.405421566,0.612025509,10.45284816,0.293939063,-25.76655559,0.354539161,2,TRUE
1816-07-13,t,3.652352885,0.518437919,14.86377738,1.088975648,71.41120043,1.182614638,2,TRUE
1816-10-05,t_1,-10.79158059,1.11138758,235.0943066,0.718361555,-39.06811261,0.674371228,3,TRUE
1816-10-05,t_2,-8.983871784,0.171673133,222.9012165,0.7461185,-51.26120269,0.706225565,3,TRUE
1816-10-08,t_1,-10.6185396,0.728317439,236.5550983,0.086996762,1.868102791,0.004449953,2,TRUE
1816-10-08,t_2,-9.059101527,0.72192223,225.3266645,0.07251281,-9.360330975,0.018933931,2,TRUE
1816-10-10,t_1,-8.157558544,1.025890791,235.1762145,1.392000738,26.72264391,1.384196732,3,TRUE
1816-10-10,t_2,-8.252607027,1.017637966,223.5017358,0.03440214,15.04816523,0.039625068,3,TRUE
1816-10-11,t_1,-9.059454998,1.883664345,234.2579727,1.84438572,39.03025854,1.937444162,2,TRUE
1816-10-11,t_2,-7.465877749,1.909919602,224.4583462,1.700424083,29.23063208,1.793482546,2,TRUE
1816-10-12,t_1,-8.91687845,0.354846573,236.4528753,0.779524415,54.13327876,0.886020452,2,TRUE
1816-10-12,t_2,-7.958260028,0.344149602,225.4230852,0.709695004,43.10348872,0.816190985,2,TRUE
1816-10-13,t_1,-9.526728681,1.48403525,234.2580604,0.666355864,66.44141245,0.573734824,2,TRUE
1816-10-13,t_2,-8.195307458,0.000141685,223.8879498,0.092524074,56.07130188,9.70E-05,2,TRUE
1816-10-14,t_2,-8.050768738,1.38E-05,223.5852698,0.085503069,67.93957903,9.89E-05,2,TRUE
1816-10-15,t_3,11.8387081,1.136516063,127.6338034,0.585841787,-14.52939759,0.524529604,2,TRUE
1816-10-15,t_4,11.32785979,0.442458541,120.8986487,0.636091269,-21.26455225,0.574779193,2,TRUE
1816-10-17,t_3,11.3133615,0.699787462,127.6984106,0.062211537,11.86014931,0.026729223,2,TRUE
1816-10-17,t_4,10.29541885,1.116841445,120.7741502,0.671152806,4.93588889,0.582211993,2,TRUE
1816-10-19,t_3,9.692484092,5.53E-05,126.0563325,0.028114707,36.52253302,2.53E-05,2,TRUE
1816-10-19,t_4,10.62748494,0.39069189,120.8553573,0.733784718,31.32155778,0.705695347,2,TRUE
1816-10-20,t_3,10.10843835,0.721009008,125.989848,1.811339651,49.78257241,1.896604326,2,TRUE
1816-10-21,t_3,9.166640996,,124.2619208,,60.75909376,,1,TRUE
1816-10-22,t_3,9.200290651,0.553204193,122.7755427,0.24113873,72.93365873,0.278028011,3,TRUE
1816-10-22,t_5,3.938617277,0.816797006,336.6220854,2.524029728,-73.21979859,2.543385218,3,TRUE
1816-10-24,t_5,3.605117742,0.693854143,341.1322701,0.146320192,-42.86040676,0.053776878,2,TRUE
1816-11-16,t,7.077082429,0.837643539,9.482306549,4.311451569,-71.13598349,4.363015929,2,TRUE
1816-11-17,t,8.264059617,,6.644040157,,-61.48480412,,1,TRUE
1816-11-18,t,7.857492875,0.463735701,5.515829236,0.72740481,-48.97768798,0.655616934,2,TRUE
1816-11-19,t_1,7.977066734,0.643290716,6.308580117,0.188423793,-36.37926635,0.155901369,2,TRUE
1816-11-20,t,7.832383899,0.456176771,5.59850371,0.582198293,-22.28521903,0.486197049,2,TRUE
1816-11-21,t,10.0519908,1.487615898,8.362196828,1.593628155,-6.588639204,1.529595194,3,TRUE
1816-11-26,t,-2.144075132,0.485481085,6.39990047,0.78317965,57.75309063,0.885805838,2,TRUE
1816-11-27,t,-2.131567241,0.390064995,6.02325758,1.15467159,70.30014325,1.15437212,3,TRUE
1816-12-17,t,-1.475718421,0.087336212,5.367786179,0.51351275,-26.54896796,0.56020516,3,TRUE
1816-12-18,t,-0.449178215,1.81133103,7.095317141,0.356742637,-11.79637114,0.314205341,3,TRUE
1816-12-20,t,-2.818468491,0.062116153,9.054338478,0.589832404,16.72379316,0.527847218,3,TRUE
1816-12-21,t,-2.416958199,0.831880435,10.37771572,0.576529719,30.70796925,0.615421351,3,TRUE
1816-12-23,t,-3.071003744,0.655836129,13.58329523,1.698337842,60.25427032,1.803494654,2,TRUE
1816-12-24,t,-2.723931286,0.865196722,22.57935124,1.756553585,83.00571062,1.712418307,4,TRUE
1817-01-10,t,-0.518636312,0.433464317,180.8884834,206.4851288,-74.86605863,1.563457391,4,FALSE
1817-02-28,t,20.54817411,0.563675541,122.1325915,0.379759444,-27.88840738,0.410720563,6,FALSE
1824-09-19,t,34.32714866,0.564048587,12.49112881,0.972806612,-67.26463676,0.98565815,3,TRUE
1824-09-20,t,33.20207651,0.232530293,13.5867528,0.459783364,-53.09465712,0.388259157,4,TRUE
1824-09-23,t,34.63704503,0.404000129,12.19615101,0.338194474,-14.90581858,0.414238204,3,TRUE
1824-09-25,t,34.53346482,1.480764989,10.88497087,0.443430424,10.12461885,0.443117704,3,TRUE
1824-09-26,t,34.33479461,1.233648019,11.263969,1.145156703,23.83083882,1.115295711,2,TRUE
1824-09-27,t,32.52358654,1.135191479,9.846825224,0.33300718,35.53971287,0.265583558,3,TRUE
1824-09-29,t,34.68243286,0.86733826,9.943558221,1.414305783,61.96665182,1.525156318,2,TRUE
1824-10-21,t,21.86053904,0.878363987,336.7526989,0.780824858,-39.35862255,0.747148797,4,TRUE
1824-10-26,t,21.29574589,1.279292688,336.955204,1.652868677,26.93162005,1.755715428,2,TRUE
1824-10-29,t_new,23.6507877,2.84550241,341.9482446,1.908599643,71.14822419,1.860631619,2,TRUE
1824-10-29,t_old,-19.87143666,,214.7989222,,-55.96717967,,1,FALSE
1825-01-27,t,8.63651063,0.524734387,197.2131365,0.560886653,31.18289884,0.527054669,3,FALSE
1825-09-19,t,-21.47087639,,268.3801212,,-32.29523729,,1,TRUE
1825-09-20,t,-20.67455744,1.659400895,267.6606731,0.584160729,-19.84164597,0.642809709,3,TRUE
1827-02-23,t1,16.82885873,,224.2755481,,-30.14732195,,1,FALSE
1827-02-25,t1,-8.032608942,0.841781381,237.1697064,1.315161408,8.062032903,1.373911426,2,FALSE
1827-02-25,t2,-20.59252503,0.057793994,241.1813865,0.447678991,12.07371302,0.388928967,2,FALSE
1827-02-25,t3,-11.17303833,0.092616125,189.9965825,0.591361038,-39.11109094,0.650111075,2,FALSE
1827-02-26,t3,-9.826377078,0.899447115,192.1902069,1.711766233,-23.59890509,1.703266963,4,FALSE
1827-02-28,t3,-16.95134899,1.940157285,193.6553598,0.528492755,4.158291733,0.57305646,6,FALSE
1827-03-06,t3,17.04496337,2.814233073,105.8616182,0.691173615,-4.704869968,0.655533302,2,FALSE
1827-03-07,t3,16.26281109,1.663214632,104.3976748,1.586086408,8.169529969,1.532362485,4,TRUE
1830-03-21,t,7.810163166,0.080983629,171.2787311,0.204127161,-33.93915083,0.164198376,2,TRUE
1830-03-22,t,9.130529566,0.61814863,170.7904531,1.033078524,-21.28203218,1.002236703,4,TRUE
1830-03-24,t,8.60325875,0.459733333,170.6283948,0.841032646,4.846726646,0.847061705,5,TRUE
1830-03-25,t,9.795559941,1.52451249,172.3153823,0.431905065,19.78072519,0.528510637,2,TRUE
1830-03-26,t,7.999909026,,173.1473845,,33.44616174,,1,TRUE
1830-06-30,t,8.869906959,1.332284672,318.5132615,0.736122605,7.977773378,0.706812123,6,TRUE
1830-07-02,t,13.62256318,2.677023661,318.0981756,0.688734542,33.97476391,0.652674318,7,TRUE
1830-07-30,t,14.526301,0.558798498,313.9591648,0.782946361,40.5584692,0.785298845,3,TRUE
1830-07-31,t,14.56021159,,312.6541294,,52.53971137,,1,TRUE
1830-09-27,t,3.300328062,,232.9460723,,17.02471214,,1,FALSE
1830-09-30,t,-15.88598837,2.961506551,195.1282693,0.463070913,18.84168729,0.519479486,4,FALSE
1830-10-03,t,-10.88398549,0.573350072,95.73481108,0.588711228,-40.93736752,0.61145525,4,TRUE
1830-10-04,t,-11.4448217,1.085175595,94.49801201,1.484193571,-29.03098244,1.495901166,4,TRUE
1830-10-06,t,-11.25095393,1.128628315,96.49429888,1.260941813,-0.681767604,1.238379043,5,TRUE
1830-10-07,t,-10.87353771,0.516030252,96.31963131,1.021108216,12.38112905,1.007779412,6,TRUE
1830-10-09,t,-9.735744662,0.704953402,96.90785338,0.413963967,39.32100461,0.390428508,4,TRUE
1830-10-10,t,-10.71401739,0.489681312,96.67581423,0.163286421,52.25159655,0.191419924,4,TRUE
1830-10-11,t,-10.39436531,0.785503137,97.49657064,2.25795626,66.28293566,2.279294812,6,TRUE
1830-10-13,t,17.86351955,0.651643348,314.6106909,0.653505206,-50.21509968,0.650035661,4,FALSE
